Country,Connection,Patient Organization,Hospital/Dr,P - Tranexamic Acid,P - Danazol,P - Cinryze,P - Takhzyro,P - Orladeyo,P- Haegarda,A - Firazyr,A - Generic Icatibant,A - Berinert,A - Kalbitor,A - Ruconest,A - FFP,Source,Region
USA,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,https://haei.org/hae-member-countries/united-states-of-america-2/,North America
Antigua & Barbuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://haei.org/about-haei/globally/,North America
Bahamas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://haei.org/about-haei/globally/,North America
Barbados,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://haei.org/about-haei/globally/,North America
Belize,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://haei.org/about-haei/globally/,North America
Dominica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://haei.org/about-haei/globally/,North America
Grenada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://haei.org/about-haei/globally/,North America
Haiti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://haei.org/about-haei/globally/,North America
Honduras,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://haei.org/about-haei/globally/,North America
Jamaica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://haei.org/about-haei/globally/,North America
Nicaragua,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://haei.org/about-haei/globally/,North America
St. Kitts & Nevis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://haei.org/about-haei/globally/,North America
St. Lucia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://haei.org/about-haei/globally/,North America
St. Vincent & Grenadines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://haei.org/about-haei/globally/,North America
Trinidad & Tobago,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://haei.org/about-haei/globally/,North America
Australia,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,https://haei.org/hae-member-countries/australia/,Oceania
New Zealand,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,https://haei.org/hae-member-countries/new-zealand/,Oceania
Fiji,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://haei.org/about-haei/globally/,Oceania
